Model ID,F1 Score,Precision Score,Accuracy Score,Recall Score
0,0.9677,0.968,0.9672,0.9678
1,0.9678,0.9677,0.9676,0.9678
2,0.9676,0.9679,0.9673,0.9675
3,0.9676,0.9674,0.9678,0.9671
4,0.9676,0.9675,0.967,0.967
5,0.9673,0.968,0.9674,0.9676
6,0.9679,0.9676,0.9673,0.9676
7,0.9675,0.967,0.9671,0.9674
8,0.9679,0.9677,0.9675,0.9676
9,0.967,0.9679,0.9672,0.9678
10,0.9678,0.9677,0.968,0.9676
11,0.9671,0.9676,0.9677,0.9677
12,0.9676,0.9672,0.9675,0.9674
13,0.9679,0.9672,0.967,0.967
14,0.967,0.9678,0.9675,0.9673
15,0.9676,0.9679,0.968,0.9672
16,0.9677,0.9678,0.968,0.9679
17,0.9671,0.9679,0.967,0.967
18,0.9677,0.9671,0.9672,0.9677
19,0.9675,0.9675,0.9674,0.9675
20,0.9678,0.968,0.9674,0.9673
21,0.9674,0.968,0.968,0.9677
22,0.967,0.9674,0.9671,0.967
23,0.9676,0.9675,0.9672,0.967
24,0.9677,0.9675,0.9678,0.968
25,0.9674,0.9674,0.9677,0.968
26,0.9673,0.9677,0.9674,0.9679
27,0.9677,0.9671,0.9676,0.9672
28,0.9672,0.9675,0.9674,0.9678
29,0.9677,0.9671,0.9673,0.9677
