Model ID,F1 Score,Precision Score,Accuracy Score,Recall Score
0,0.728,0.7673,0.7254,0.7255
1,0.7285,0.7682,0.7265,0.7251
2,0.729,0.7673,0.7262,0.7258
3,0.7294,0.7681,0.7253,0.7268
4,0.7293,0.7682,0.7266,0.7274
5,0.728,0.767,0.7266,0.7262
6,0.7292,0.7684,0.7257,0.7257
7,0.7282,0.768,0.7255,0.726
8,0.7286,0.7676,0.7269,0.7258
9,0.7297,0.767,0.7264,0.7263
10,0.7297,0.7674,0.726,0.725
11,0.7288,0.7674,0.7258,0.7254
12,0.7296,0.7685,0.7268,0.7254
13,0.7281,0.768,0.7264,0.727
14,0.7285,0.7676,0.7259,0.7255
15,0.7285,0.7685,0.7252,0.7274
16,0.728,0.7673,0.7269,0.7268
17,0.729,0.7685,0.7253,0.7267
18,0.7291,0.7673,0.7254,0.7257
19,0.7291,0.7672,0.7268,0.7267
20,0.728,0.7675,0.7258,0.7271
21,0.7283,0.7675,0.7252,0.7272
22,0.7286,0.767,0.7252,0.7253
23,0.7295,0.767,0.7255,0.7258
24,0.7293,0.7683,0.7258,0.7266
25,0.7288,0.7671,0.7254,0.7262
26,0.7291,0.7675,0.7256,0.7253
27,0.7286,0.7671,0.7258,0.7264
28,0.7289,0.7682,0.7268,0.7264
29,0.7289,0.7678,0.7254,0.7271
